,hospital_250,train_station_250,bus_station_250,park_250,place_of_worship_250,liquor_store_250,hospital_500,train_station_500,bus_station_500,park_500,place_of_worship_500,liquor_store_500,hospital_750,train_station_750,bus_station_750,park_750,place_of_worship_750,liquor_store_750,lng,lat
160,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,5,0,-0.115071459106359,51.3625065296092
161,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3,11,1,-0.107866229229716,51.3625065296092
162,0,1,0,1,5,0,0,0,3,1,12,1,1,0,0,4,11,0,-0.0934557694764316,51.3625065296092
163,0,0,3,0,4,0,0,1,0,2,16,1,0,0,0,2,6,1,-0.100660999353074,51.3625065296092
164,0,0,0,0,0,0,1,0,0,2,1,0,0,1,0,1,10,0,-0.0862505395997892,51.3625065296092
165,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,5,1,0,-0.0790453097231468,51.3625065296092
166,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,2,0,0,-0.064634849969862,51.3625065296092
167,0,0,0,1,1,0,0,0,0,2,0,0,1,0,0,1,1,0,-0.0718400798465044,51.3625065296092
168,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,-0.0574296200932196,51.3625065296092
169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,-0.0502243902165772,51.3625065296092
170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0358139304632924,51.3625065296092
171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0214034707100076,51.3625065296092
172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0141982408333652,51.3625065296092
173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02860870058665,51.3625065296092
174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0430191603399348,51.3625065296092
175,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,-0.122280581039695,51.3580074288334
176,0,0,0,0,5,0,0,0,0,1,1,0,0,0,0,0,1,0,-0.115076058809725,51.3580074288334
177,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,5,0,-0.0862579698898419,51.3580074288334
178,0,0,0,0,2,0,0,0,0,1,7,0,1,1,3,1,10,2,-0.0934624921198126,51.3580074288334
179,0,0,0,0,3,0,0,0,0,0,7,0,0,1,3,1,11,1,-0.100667014349783,51.3580074288334
180,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,9,0,-0.107871536579754,51.3580074288334
181,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,-0.0790534476598711,51.3580074288334
182,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,2,0,-0.0646444031999297,51.3580074288334
